M,KAA Car Sales
200501,42.53393029
200502,-7.74015828
200503,11.23821593
200504,8.933181346
200505,9.53218518
200506,11.24072787
200507,15.185758
200508,3.311372884
200509,-15.99569782
200510,-0.38697692
200511,10.27506665
200512,7.809895709
200601,-1.271246308
200602,20.97461689
200603,8.238798192
200604,-2.802886909
200605,3.221612576
200606,0.351066784
200607,-33.60495749
200608,-7.64574122
200609,57.03838138
200610,-0.660953784
200611,4.219822825
200612,-4.974497419
200701,3.515398798
200702,-2.607009795
200703,1.304772596
200704,12.09215726
200705,12.26290389
200706,7.948826702
200707,46.89954318
200708,24.74164621
200709,-22.813313
200710,22.02978331
200711,0.741158316
200712,0.176091962
200801,12.06078941
200802,-2.215659869
200803,-0.67120214
200804,1.877422344
200805,-3.223360826
200806,-2.372207856
200807,-2.474706848
200808,-17.33105652
200809,-12.03749282
200810,-2.335314196
200811,-16.40032904
200812,-20.92056491
200901,-43.53258453
200902,-15.21562879
200903,-28.43439725
200904,-26.70348989
200905,-20.34848185
200906,-7.790187555
200907,0.809063659
200908,-4.836776682
200909,41.33809002
200910,-9.119015771
200911,12.40622841
200912,32.03781621
201001,51.42058734
201002,16.62212497
201003,39.927852
201004,40.49247554
201005,27.08414393
201006,20.11836884
201007,24.75462235
201008,27.98595351
201009,-6.758153833
201010,13.58110649
201011,7.710503496
201012,3.777422256
201101,25.03506405
201102,9.403040654
201103,9.027316696
201104,5.870885224
201105,8.537207654
201106,11.62473071
201107,5.19640829
201108,10.96293411
201109,10.62825295
201110,2.835076212
201111,6.307864768
201112,8.695520749
201201,-7.889447371
201202,35.35476185
201203,9.04147705
201204,0.571751217
201205,2.165776449
201206,-1.992787918
201207,-7.952060054
201208,-23.74618278
201209,-7.383308855
201210,-3.898818357
201211,2.890940856
201212,-4.611059869
201301,13.39041714
201302,-19.07574831
201303,-11.22768973
201304,-3.336654646
201305,-0.566780091
201306,-7.706169175
201307,-2.082599119
201308,33.41800588
201309,-16.38442632
201310,5.255691856
201311,-5.40327765
201312,0.890894028
201401,-6.44323341
201402,5.526240304
201403,7.349681753
201404,12.75874338
201405,-3.287396514
201406,-2.908005053
201407,10.29451462
201408,-13.78321454
201409,6.086139422
201410,-9.600857366
201411,-1.281842939
201412,10.68807251
201501,-0.851912271
201502,-11.31774693
201503,-0.910461852
201504,-3.323665893
201505,-1.770285575
201506,9.681379314
201507,0.639902918
201508,2.388066911
201509,8.438699462
201510,9.134069223
201511,-0.058364594
201512,-0.231257383
201601,-15.02022049
201602,-3.222541507
201603,1.903974739
201604,-11.89368213
201605,-1.60868212
201606,-3.914190739
201607,-13.99975175
201608,-16.04585879
201609,-19.89138891
201610,-13.20527878
201611,0.686309253
201612,1.269957566
201701,-7.012197109
201702,5.856017842
201703,-3.718103138
201704,1.580694983
201705,-2.895329679
201706,-5.686934269
201707,4.908510363
201708,17.52869065
201709,34.3274607
201710,-16.54523543
201711,-6.878773758
201712,-32.81239907
201801,6.106610675
201802,-16.12182374
201803,-8.899706168
201804,-5.758071436
201805,-1.571843354
201806,-8.943216289
201807,-7.963364368
201808,1.388362347
201809,-19.20188407
201810,29.59229476
201811,0.700041523
201812,15.29096188
201901,8.312796083
201902,-0.12967759
201903,-3.939379677
201904,2.207160681
201905,3.449734658
201906,-2.101637221
201907,2.791997413
201908,-5.34636322
201909,-3.322229411
201910,-7.992288567
201911,-7.707455554
201912,-2.664094489
202001,-24.20355939
202002,-24.81955503
202003,3.223621639
202004,-25.1673144
202005,-32.59222785
202006,-9.959147588
202007,-1.723124774
202008,-13.65410965
202009,17.53721515
202010,-3.492009759
202011,-4.98248669
202012,-12.00355263
202101,24.18936864
202102,29.2888603
202103,-6.145663191
202104,15.77108801
202105,14.86550065
202106,5.111401064
202107,-7.667451833
202108,-2.312267382
202109,-26.23999855
202110,-19.19492474
202111,-9.716486922
202112,1.818706979
202201,-10.97228658
202202,3.014307915
202203,-14.06540054
202204,2.112180466
202205,8.280936743
202206,-7.954898107
202207,13.00997547
202208,14.86188288
202209,27.12917305
202210,22.80858007
202211,15.18245251
202212,11.34938722
202301,8.927063619
202302,29.59472966
202303,39.96275064
202304,19.01985096
202305,25.51912242
202306,27.65824121
202307,-0.113449561
202308,13.20964027
202309,-1.775333299
202310,4.46379055
202311,9.480994533
202312,3.722140481
202401,15.8633156
202402,-14.47400488
