date,esi,vkospi
200501,95.4,20.19
200502,107.9,17.46941176
200503,110.7,20.08409091
200504,110.2,20.7055
200505,103.7,19.49333333
200506,102.1,16.42571429
200507,99.1,17.05333333
200508,103.3,18.99727273
200509,106.6,21.5447619
200510,105.3,25.265
200511,109.2,22.97954545
200512,112.1,19.87333333
200601,114.7,21.08714286
200602,116.1,22.896
200603,116.8,20.57136364
200604,115.3,18.6995
200605,109.3,21.42
200606,104.4,26.02571429
200607,103.2,24.661
200608,105.3,21.10181818
200609,106.9,18.33
200610,109.2,18.74578947
200611,109.4,15.05318182
200612,107.2,15.90894737
200701,106.2,17.33181818
200702,112.5,17.13368421
200703,113,19.94714286
200704,114.5,18.50428571
200705,113.8,17.76571429
200706,112.7,20.5865
200707,114.3,23.60047619
200708,116.5,34.54227273
200709,115.7,31.31588235
200710,114.4,30.42909091
200711,113.6,35.67545455
200712,110.9,29.44722222
200801,111.2,29.44727273
200802,113.5,30.38444444
200803,106.5,30.74095238
200804,107.8,25.0947619
200805,103.6,22.27473684
200806,98.7,23.795
200807,93.7,25.72652174
200808,101.8,24.7715
200809,97.9,31.31904762
200810,82.8,61.14318182
200811,71.7,70.2945
200812,61.9,56.31095238
200901,68.3,47.76368421
200902,71,47.6255
200903,74,41.29363636
200904,90.6,36.45772727
200905,95.7,32.88842105
200906,98.9,30.85863636
200907,99.7,25.54434783
200908,108.1,25.50285714
200909,109.3,22.685
200910,111.8,23.31714286
200911,108.3,22.3647619
200912,109.9,20.41809524
201001,112.8,20.2605
201002,115.9,21.36631579
201003,114.8,18.15181818
201004,116.2,17.32818182
201005,115.4,24.53789474
201006,114.4,21.02285714
201007,114.3,19.87363636
201008,113,18.47136364
201009,113.4,16.38052632
201010,111.4,17.05047619
201011,112.6,19.83590909
201012,111.1,17.72181818
201101,111,15.82380952
201102,112.4,18.61882353
201103,109.1,18.37727273
201104,112.5,17.96619048
201105,110.7,19.227
201106,107.8,19.80666667
201107,107.1,19.14
201108,105.6,33.37045455
201109,105.5,38.8535
201110,103.6,35.11
201111,103.6,33.17363636
201112,99.6,27.13333333
201201,100.7,24.6655
201202,104.3,21.33857143
201203,105.5,18.2647619
201204,108.8,17.829
201205,105,20.41333333
201206,100.3,22.658
201207,96.1,18.86318182
201208,94.6,19.53681818
201209,93.6,18.8615
201210,91.6,17.52095238
201211,90.8,16.56727273
201212,91.4,15.25111111
201301,94.5,14.61363636
201302,96.3,14.56210526
201303,98.3,15.5245
201304,97.9,16.72272727
201305,97.3,14.32571429
201306,96.4,16.85315789
201307,95.7,17.36043478
201308,95.5,15.07142857
201309,96.1,15.72555556
201310,97.7,14.25333333
201311,97.8,14.11857143
201312,97.7,14.1935
201401,100.2,13.6295
201402,102.3,14.8365
201403,100.8,13.61047619
201404,102.1,12.35590909
201405,100.6,11.15368421
201406,97.3,11.29684211
201407,95.4,11.12826087
201408,97.5,11.958
201409,100.2,11.89526316
201410,95.7,14.82904762
201411,97.2,13.3185
201412,96.2,13.14428571
201501,97.8,13.54428571
201502,102.3,12.44588235
201503,100.7,11.49545455
201504,103,11.97681818
201505,101.5,12.295
201506,91.5,13.99136364
201507,95.2,13.89608696
201508,96.6,16.901
201509,96.2,20.6315
201510,96.8,15.74809524
201511,96.6,14.05571429
201512,93.6,14.96571429
201601,93.5,19.4525
201602,92.3,18.29333333
201603,93.9,13.38681818
201604,96.6,12.8175
201605,94.9,12.225
201606,94.6,15.30571429
201607,95.8,13.37857143
201608,97.7,11.99363636
201609,97.3,12.74736842
201610,96,13.9125
201611,95.5,14.92090909
201612,94,11.6552381
201701,95.9,11.76
201702,97.7,10.7485
201703,100,11.605
201704,99.6,13.447
201705,100.7,13.50842105
201706,99.9,11.90952381
201707,99.1,11.55190476
201708,100.2,13.55454545
201709,98.9,13.13047619
201710,102,12.321875
201711,102,12.20545455
201712,101.7,12.41684211
201801,99.4,12.49454545
201802,101,17.79611111
201803,97.9,16.98619048
201804,99.6,15.1
201805,101.7,12.9775
201806,100.2,14.46473684
201807,95.5,14.64590909
201808,96.6,12.445
201809,99.1,11.74470588
201810,95.1,17.25857143
201811,94.2,18.23818182
201812,94.4,18.25157895
201901,92,15.64863636
201902,97.2,14.70705882
201903,96.4,14.4165
201904,97.4,13.76681818
201905,94,16.49095238
201906,94.7,14.87210526
201907,91.9,13.80217391
201908,91.2,16.60285714
201909,93.8,14.83
201910,93.2,14.24
201911,94,13.74904762
201912,94.8,13.713
202001,97.3,15.122
202002,89.8,20.095
202003,69.2,47.44363636
202004,62.2,37.354
202005,64.1,27.23631579
202006,68.7,30.67045455
202007,77.3,23.70652174
202008,83.3,24.3845
202009,77.5,24.1952381
202010,88.6,22.76684211
202011,91.5,21.24095238
202012,85.6,20.90904762
202101,92.7,30.808
202102,96.3,28.40888889
202103,101.1,25.12818182
202104,105.2,18.03
202105,105.3,18.77736842
202106,109.2,15.46409091
202107,103.8,14.48909091
202108,105.2,15.59047619
202109,104.4,15.54473684
202110,105.5,18.66736842
202111,106.2,17.53818182
202112,104.5,18.08636364
202201,105.6,19.173
202202,105.7,22.90555556
202203,103.4,22.55
202204,105.7,18.089048
202205,106.7,19.959048
202206,102.5,22.056
202207,97.8,21.600476
202208,99.3,16.95
202209,98.0,20.774
202210,95.4,23.989474
202211,91.2,19.566364
202212,91.5,17.757143
202301,90.1,17.5685
202302,91.6,18.1635
202303,91.5,17.904545
202304,93.8,15.2445
202305,94.2,14.461
202306,95.7,13.38619
202307,94.1,13.539524
202308,94.0,14.685
202309,92.7,13.004737
202310,91.8,18.099474
202311,91.2,16.623182
202312,91.1,14.996316
202401,,17.537273
202402,,17.691053
202403,,17.242
