M,Cyclical Component of Leading Index
200501,99.4
200502,99.6
200503,100.1
200504,100.1
200505,99.8
200506,99.4
200507,99.5
200508,99.8
200509,100.0
200510,100.0
200511,100.3
200512,100.5
200601,100.9
200602,100.9
200603,100.7
200604,100.5
200605,100.4
200606,100.0
200607,99.4
200608,99.0
200609,99.4
200610,99.8
200611,100.1
200612,100.0
200701,100.0
200702,100.2
200703,100.3
200704,100.4
200705,100.5
200706,100.9
200707,101.4
200708,101.5
200709,101.6
200710,101.5
200711,101.7
200712,101.5
200801,101.2
200802,100.6
200803,100.2
200804,100.0
200805,99.7
200806,99.3
200807,98.8
200808,98.6
200809,98.4
200810,98.0
200811,97.5
200812,97.2
200901,97.0
200902,97.4
200903,97.9
200904,99.0
200905,99.6
200906,100.4
200907,100.6
200908,100.7
200909,100.9
200910,101.5
200911,102.1
200912,102.4
201001,102.5
201002,102.4
201003,102.1
201004,101.9
201005,102.0
201006,102.0
201007,101.9
201008,101.6
201009,101.4
201010,101.0
201011,100.9
201012,100.7
201101,101.0
201102,101.2
201103,101.1
201104,100.9
201105,100.8
201106,100.7
201107,100.6
201108,100.4
201109,100.1
201110,100.0
201111,99.8
201112,99.6
201201,99.7
201202,100.1
201203,100.4
201204,100.5
201205,100.2
201206,100.2
201207,99.9
201208,99.6
201209,99.3
201210,99.2
201211,99.3
201212,99.4
201301,99.4
201302,99.4
201303,99.4
201304,99.5
201305,99.5
201306,99.7
201307,99.8
201308,99.8
201309,99.7
201310,99.8
201311,99.8
201312,99.9
201401,99.9
201402,99.9
201403,99.8
201404,99.7
201405,99.5
201406,99.5
201407,99.3
201408,99.4
201409,99.6
201410,99.6
201411,99.7
201412,99.7
201501,100.0
201502,100.2
201503,100.4
201504,100.5
201505,100.6
201506,100.5
201507,100.4
201508,100.3
201509,100.5
201510,100.4
201511,100.3
201512,100.0
201601,99.7
201602,99.4
201603,99.4
201604,99.3
201605,99.4
201606,99.3
201607,99.4
201608,99.5
201609,99.7
201610,99.8
201611,100.0
201612,100.2
201701,100.4
201702,100.7
201703,100.9
201704,101.1
201705,101.2
201706,101.4
201707,101.5
201708,101.7
201709,101.7
201710,101.8
201711,101.7
201712,101.5
201801,101.5
201802,101.5
201803,101.5
201804,101.2
201805,101.2
201806,101.0
201807,100.9
201808,100.5
201809,100.4
201810,100.1
201811,99.9
201812,99.6
201901,99.5
201902,99.3
201903,99.4
201904,99.4
201905,99.1
201906,98.9
201907,98.6
201908,98.5
201909,98.5
201910,98.9
201911,99.2
201912,99.5
202001,99.5
202002,99.5
202003,99.1
202004,98.8
202005,98.5
202006,98.7
202007,99.0
202008,99.5
202009,99.8
202010,100.2
202011,100.7
202012,100.9
202101,101.3
202102,101.5
202103,101.8
202104,102.2
202105,102.5
202106,102.8
202107,102.6
202108,102.3
202109,101.9
202110,101.5
202111,101.2
202112,101.0
202201,101.1
202202,100.8
202203,100.6
202204,100.4
202205,100.6
202206,100.6
202207,100.4
202208,100.3
202209,100.3
202210,100.3
202211,100.1
202212,99.6
202301,99.3
202302,99.0
202303,98.8
202304,98.6
202305,98.8
202306,99.1
202307,99.5
202308,99.5
202309,99.6
202310,99.9
202311,100.1
202312,100.3
202401,100.3
202402,100.5
202403,100.4
202404,100.6
202405,100.6
202406,100.8
