M,ICT Export
200501,28.63312352479369
200502,16.361714311542073
200503,16.199207105996337
200504,5.7545381467433
200505,5.891006243135635
200506,11.359520550940246
200507,19.002575289099937
200508,15.244971867127617
200509,15.48699183819582
200510,8.331126801768036
200511,5.880926458222291
200512,13.436897418705513
200601,-0.4000003167874411
200602,1.6584509192871764
200603,1.3430285015054437
200604,3.523891604012718
200605,6.018009803192584
200606,1.9869309331243699
200607,-0.00995841389547536
200608,7.4130558689113855
200609,14.805959540345981
200610,16.899500739049003
200611,35.81647295087609
200612,40.51524731977304
200701,49.97138923045978
200702,35.17595884566259
200703,24.83489985309558
200704,15.343274983613071
200705,10.825483205740355
200706,23.917226112563554
200707,29.846223236943388
200708,26.859620670193536
200709,10.103749080353424
200710,10.764157707770465
200711,0.9106417978011336
200712,-9.173138073019587
200801,-21.506951541871615
200802,-16.399907025594686
200803,-8.152099604881954
200804,-0.09507311806244445
200805,5.640395732132333
200806,2.2689749975644276
200807,-5.932487003967225
200808,-12.90680252913478
200809,-10.458229166821582
200810,-26.0615839734306
200811,-44.100111865627525
200812,-49.90498995782008
200901,-46.93094941167575
200902,-40.56419400909136
200903,-38.43213304586346
200904,-26.154720267168372
200905,-22.140531070911393
200906,-22.97751757015925
200907,-15.63750502832211
200908,-7.189207637657816
200909,9.184127901858588
200910,36.4081223448448
200911,80.12065307228741
200912,125.53900026301298
201001,120.59057820276627
201002,117.91430223072265
201003,123.0200776913097
201004,97.59432654152954
201005,82.58775253024248
201006,74.05942987219007
201007,70.83782178394048
201008,64.8988855744897
201009,48.57761998535338
201010,32.7528156378298
201011,18.095720983073264
201012,23.51949194764009
201101,23.965394302314436
201102,9.198992933959829
201103,10.644983084078191
201104,-0.5625478299377136
201105,-4.849352983916887
201106,-3.8373275513099117
201107,-14.049286013964917
201108,-13.313964267013631
201109,-3.7118494257663883
201110,-4.503360850691834
201111,-1.3001911239716435
201112,0.6977020140381427
201201,-8.070386395298783
201202,5.896874843158656
201203,-3.6493868950945796
201204,-7.7346423856113375
201205,1.3076814003987636
201206,3.3089857960477502
201207,-0.6961739374411309
201208,-0.45496024388960166
201209,-2.736251123717821
201210,6.7370653886334395
201211,12.90675299798427
201212,0.997526513332275
201301,7.184000793624534
201302,0.8538254987845875
201303,6.62980020356612
201304,12.476854152091747
201305,17.190235867315266
201306,6.8569876706198585
201307,21.70179418125784
201308,21.992381011565683
201309,21.058123560158947
201310,14.855460507123809
201311,8.045067646212757
201312,19.953738846049788
201401,15.174532610653998
201402,14.571770527496028
201403,13.985178174847988
201404,11.989082577920328
201405,-1.0542990162532817
201406,10.929657471110772
201407,0.8719757529067209
201408,4.967331979936731
201409,7.402348817301018
201410,11.483697540413743
201411,15.90382983996544
201412,11.824949949294776
201501,13.24583837729179
201502,6.441134464697313
201503,2.8867794202389376
201504,6.90935924480587
201505,4.265973634143094
201506,2.938090474296388
201507,6.167442773820127
201508,4.003682150406718
201509,0.7999110201502617
201510,-7.519511887991385
201511,-9.955063235473574
201512,-17.456967528337913
201601,-13.953504309246114
201602,-12.798508088332511
201603,-1.880363152666277
201604,-11.838390598221409
201605,-4.355467580582712
201606,-0.4975591860959838
201607,-2.6095021240292198
201608,2.4859509558184953
201609,-2.6100863345543672
201610,1.6666767948141796
201611,11.626077544160651
201612,22.33137915430079
201701,41.53144028825301
201702,56.548536137653144
201703,43.93077714393405
201704,59.0986890706732
201705,55.994228333137556
201706,54.93747979080129
201707,60.710297245043364
201708,59.72291858492497
201709,73.20739624787964
201710,72.4280896837272
201711,68.47840993413541
201712,68.31955227050116
201801,53.75218653210737
201802,40.7034424382135
201803,44.28950430901665
201804,36.56925831903237
201805,43.415544393321085
201806,37.54652920715398
201807,30.234435198861803
201808,30.36928564353647
201809,26.929817592083168
201810,21.40186288763819
201811,10.55543634716733
201812,-9.256313726145123
201901,-23.523621704884675
201902,-24.921608348954848
201903,-16.916099069073283
201904,-13.49230212656262
201905,-29.980235219875624
201906,-25.34114199720095
201907,-27.743114275541885
201908,-30.534251678467484
201909,-31.582760833699993
201910,-32.0845942491668
201911,-30.75927794254521
201912,-17.641018457549777
202001,-3.295191806466036
202002,9.286849469016587
202003,-2.8010983827272895
202004,-15.12395773011579
202005,6.4597679478674905
202006,-0.49286755485375977
202007,5.213072703454785
202008,2.586113340948046
202009,11.903592070156037
202010,10.086403228135183
202011,16.023985766456576
202012,29.542414521903652
202101,20.421605726362998
202102,12.458407673410647
202103,7.938911514250975
202104,29.398428344373798
202105,23.948989567834616
202106,34.29914499515354
202107,38.61288139968323
202108,41.787848785058856
202109,27.43649949128138
202110,28.369201333487524
202111,39.466680681929205
202112,34.46261181428949
202201,24.100599171013016
202202,23.847782853551493
202203,37.87451964901959
202204,15.960117952209714
202205,14.921300696742207
202206,11.142504938905716
202207,3.119833821185253
202208,-6.77540776477413
202209,-4.5414700427879495
202210,-16.199079093725217
202211,-28.562384186792528
202212,-27.750264331810655
202301,-43.512298327294104
202302,-41.52272134665787
202303,-33.87484320136127
202304,-40.57871774777531
202305,-35.67373848696339
202306,-27.945523969728825
202307,-33.73652023924335
202308,-21.14794216072616
202309,-14.362914888723338
202310,-4.6942958345892976
202311,10.719612923860538
202312,19.262731600903592
202401,52.95801751118918
202402,62.89752246360837
202403,33.92084638085382
202404,53.85230634651106
202405,52.40405202975924
202406,49.441229172549754
