M,World Trade Volume Import OECD+BRICS
200501,18.1269195713
200502,13.7751829786
200503,17.1848118891
200504,17.3393230465
200505,14.797115772
200506,10.7761836624
200507,10.2500666568
200508,14.5925765395
200509,14.8354003712
200510,10.6660645044
200511,7.5491670963
200512,9.865624856
200601,11.2503942498
200602,11.2848905843
200603,10.1040615959
200604,11.0596739372
200605,16.9358678528
200606,18.0457307975
200607,17.7054042677
200608,16.8187027037
200609,15.9507570953
200610,13.7738496332
200611,15.2817210463
200612,16.7701586029
200701,12.2979774885
200702,14.612300917
200703,15.4168582596
200704,14.7232775505
200705,11.5202133499
200706,13.022821275
200707,15.3375580023
200708,12.4680980467
200709,13.3948691904
200710,18.89754159
200711,20.96448641
200712,16.5935517448
200801,23.8874992876
200802,22.2307865942
200803,23.4561688178
200804,24.3951430769
200805,24.39412148
200806,24.9395322031
200807,25.7402896922
200808,21.1005401459
200809,13.5993944968
200810,2.0069144133
200811,-13.0455166705
200812,-18.5753302617
200901,-28.246267873
200902,-30.1275802512
200903,-33.0924966222
200904,-34.0636535107
200905,-33.7651902255
200906,-31.2423798822
200907,-31.231612236
200908,-27.2930624778
200909,-19.9842504645
200910,-11.7235358153
200911,1.6552806378
200912,10.1770908379
201001,20.5176634937
201002,23.1211614915
201003,29.1777724395
201004,28.8018015629
201005,27.6250755015
201006,21.0720383849
201007,19.9260607653
201008,20.0097276084
201009,15.2618066171
201010,18.5420365832
201011,17.1579486391
201012,15.3836104803
201101,23.3330731891
201102,21.3704045037
201103,21.7864152326
201104,24.7837396862
201105,25.8987396521
201106,24.4581283525
201107,24.0048868252
201108,22.9685785867
201109,17.6973739693
201110,13.0091757986
201111,11.3427736444
201112,9.6259275804
201201,1.0205061932
201202,7.7498397378
201203,3.3940145856
201204,-1.1035161303
201205,-1.7089765003
201206,-3.5182507547
201207,-6.0537248385
201208,-6.0437596222
201209,-0.469406581
201210,-2.5226492428
201211,-1.746636815
201212,1.2712762254
201301,4.6404365273
201302,-1.1583320762
201303,-0.8881316739
201304,-0.1342720278
201305,-1.6869105757
201306,1.2138155358
201307,2.7889633983
201308,2.8517316992
201309,0.3349391909
201310,2.9999764563
201311,2.8304900508
201312,1.9163040704
201401,2.0022071039
201402,2.7351507274
201403,2.9163957067
201404,3.6355220895
201405,4.3217542001
201406,3.919967963
201407,3.6843520989
201408,1.231924872
201409,1.4042914064
201410,-2.2728599811
201411,-3.4037430005
201412,-6.1597538586
201501,-12.1898047856
201502,-13.4878449052
201503,-13.4070462112
201504,-14.3168823166
201505,-13.6265122293
201506,-12.234589523
201507,-13.2756846605
201508,-13.4750220637
201509,-14.14773797
201510,-11.4729914041
201511,-12.7487200803
201512,-11.0567997999
201601,-9.5230610669
201602,-6.8824402955
201603,-7.3734612164
201604,-4.5222896254
201605,-4.8540334747
201606,-3.8969079341
201607,-4.1152120097
201608,-0.7683226829
201609,0.0682461172
201610,-0.8546674581
201611,2.6592831296
201612,4.6720741696
201701,8.7435518443
201702,10.7448853052
201703,11.1533997437
201704,8.9967572072
201705,11.1035464455
201706,9.448892037
201707,11.9190310828
201708,11.7285908057
201709,13.868921955
201710,12.3905849352
201711,16.0354992017
201712,17.0765381301
201801,18.8362159631
201802,15.0777612462
201803,15.6956566272
201804,14.8389476097
201805,12.4646128296
201806,12.3626023908
201807,11.6756505278
201808,8.9678124269
201809,7.1689514971
201810,9.590555001
201811,2.7398827025
201812,-0.8982400932
201901,-1.151512592
201902,-3.0417897337
201903,-2.2268058248
201904,-1.6065546496
201905,-1.7169342127
201906,-3.6984632012
201907,-3.6807069861
201908,-3.6581615838
201909,-5.4330029119
201910,-5.9828993459
201911,-3.3593586296
201912,-1.5163440985
202001,-4.3923238571
202002,-3.9883777405
202003,-11.2590462584
202004,-24.8935244196
202005,-23.6941706506
202006,-15.1827513561
202007,-9.6980484362
202008,-5.1269246943
202009,-1.1964675088
202010,0.1083487899
202011,3.5266599597
202012,5.5872952436
202101,8.3311555206
202102,11.9624176053
202103,25.5413334368
202104,48.742649196
202105,49.7601156207
202106,37.6405956653
202107,28.5274240998
202108,24.4703831068
202109,22.7222284258
202110,23.9589642562
202111,24.452811068
202112,23.6447410351
202201,24.0994670245
202202,22.760950386
202203,18.0983590814
202204,18.3879567485
202205,17.124029488
202206,16.4259602235
202207,15.4006649438
202208,15.4959933912
202209,11.45788503
202210,7.1784368759
202211,2.0660292804
202212,2.4543016784
202301,-2.1392712429
202302,-0.9039641326
202303,-5.2246942848
202304,-5.0748973689
202305,-6.8848071108
202306,-8.8891824127
202307,-7.8376771283
202308,-9.312821759
202309,-7.5220374288
202310,-5.1450165289
202311,-5.370932495
202312,
