,External,Production,Labor,Consumption,Facility Inv.,Construction,Government,Exports,Imports,Prices,Finance,Real estate,Sentiments
GDP(SA)(Q),,1.0,,,,,,,,,,,
GDP(NSA)(Q),,1.0,,,,,,,,,,,
Private consumption(SA)(Q),,,,1.0,,,,,,,,,
Government consumption(SA)(Q),,,,,,,1.0,,,,,,
Construction(SA)(Q),,,,,,1.0,,,,,,,
Facility investment(SA)(Q),,,,,1.0,,,,,,,,
Exports of goods and services(SA)(Q),1.0,,,,,,,1.0,,,,,
Imports of goods and services(SA)(Q),1.0,,,,,,,,1.0,,,,
Private consumption(NSA)(Q),,,,1.0,,,,,,,,,
Government consumption(NSA)(Q),,,,,,,1.0,,,,,,
Construction(NSA)(Q),,,,,,1.0,,,,,,,
Facility investment(NSA)(Q),,,,,1.0,,,,,,,,
Exports of goods and services(NSA)(Q),1.0,,,,,,,1.0,,,,,
Imports of goods and services(NSA)(Q),1.0,,,,,,,,1.0,,,,
Unemployment rate,,,1.0,,,,,,,,,,
Employment to population ratio,,,1.0,,,,,,,,,,
Number of employed people,,,1.0,,,,,,,,,,
Monthly goods exports,1.0,,,,,,,1.0,,,,,
Monthly goods imports,1.0,,,,,,,,1.0,,,,
Export price index,1.0,,,,,,,1.0,,1.0,,,
Import price index,1.0,,,,,,,,1.0,1.0,,,
Producer price index,,1.0,,,,,,,,1.0,,,
Consumer price index,,,,1.0,,,,,,1.0,,,
Price index excluding agricultural product & oil,,,,,,,,,,1.0,,,
Price index excluding food & energy,,,,,,,,,,1.0,,,
Consumption & Retail sales index(SA),,,,1.0,,,,,,,,,
Service industry production index(SA),,1.0,,1.0,,,,,,,,,
Consumption & Retail sales index(NSA),,,,1.0,,,,,,,,,
Service industry production index(NSA),,1.0,,1.0,,,,,,,,,
Manufacturing industry production index(SA),,1.0,,,,,,,,,,,
Manufacturing industry shipment index(SA),,1.0,,,,,,,,,,,
Manufacturing inventory index(SA),,1.0,,,,,,,,,,,
Manufacturing industry production index(NSA),,1.0,,,,,,,,,,,
Manufacturing industry shipment index(NSA),,1.0,,,,,,,,,,,
Manufacturing inventory index(NSA),,1.0,,,,,,,,,,,
Facility investment index(SA),,,,,1.0,,,,,,,,
Construction completed(SA),,,,,,1.0,,,,,,,
Facility investment index(NSA),,,,,1.0,,,,,,,,
Construction completed(NSA),,,,,,1.0,,,,,,,
Manufacturing business performance BSI(SA),,1.0,,,,,,,,,,,1.0
Manufacturing business performance BSI(NSA),,1.0,,,,,,,,,,,1.0
All industries performance BSI,,1.0,,,,,,,,,,,1.0
Service industry performance BSI,,1.0,,,,,,,,,,,1.0
All industries sales BSI,,1.0,,,,,,,,,,,1.0
Manufacturing export BSI,,,,,,,,1.0,,,,,1.0
Manufacturing domestic demand sales BSI,,1.0,,,,,,,,,,,1.0
Manufacturing new orders BSI,,1.0,,,,,,,,,,,1.0
Manufacturing operation rate BSI,,1.0,,,,,,,,,,,1.0
Economic sentiment index,,,,,,,,,,,,,1.0
Current economic judgment CSI,,,,,,,,,,,,,1.0
Consumer sentiment index,,,,1.0,,,,,,,,,1.0
Consolidated fiscal balance,,,,,,,1.0,,,,,,
Housing sales price index(HSPI)-Seoul,,,,,,,,,,,,1.0,
Housing sales price index(HSPI)-National,,,,,,,,,,,,1.0,
Housing lease price index(HLPI)-Seoul,,,,,,,,,,,,1.0,
Housing lease price index(HLPI)-National,,,,,,,,,,,,1.0,
Call rate,,,,,,,,,,,1.0,,
CD rate,,,,,,,,,,,1.0,,
KTB 3-year rate,,,,,,,,,,,1.0,,
KRW exchange rate,1.0,,,,,,,,,,1.0,,
EUR exchange rate,1.0,,,,,,,,,,1.0,,
KOSPI,,,,,,,,,,,1.0,,
KOSDAQ,,,,,,,,,,,1.0,,
Dubai crude oil,,,,,,,,,,,1.0,,
WTI futures,,,,,,,,,,,1.0,,
Gold futures,,,,,,,,,,,1.0,,
Production(T),,,,,,,,,,,,,1.0
Shipbuilding(T),,,,,,,,,,,,,1.0
Automotive(T),,1.0,,,,,,,,,,,
Semiconductor(T),,1.0,,,,,,,,,,,
Facility investment(T),,1.0,,,,,,,,,,,
Construction(T),,1.0,,,,,,,,,,,
Unemployment(T),,,,,1.0,,,,,,,,
Recruitment(T),,,,,,1.0,,,,,,,
Job search(T),,,1.0,,,,,,,,,,
Wholesale & retail(T),,,1.0,,,,,,,,,,
Government expenditure(T),,,1.0,,,,,,,,,,
Price outlook(T),,,,1.0,,,,,,,,,
Stock price outlook(T),,,,,,,1.0,,,,,,
House price outlook(T),,,,,,,,,,1.0,,,
World trade(T),,,,,,,,,,,1.0,,
News sentiment index(T),,,,,,,,,,,,1.0,
Economic policy uncertainty(T),1.0,,,,,,,,,,,,
